player_id,player_screens,codigo_soporte,screen_resolution,geolocation,latitude,longitude,address,zipcode,container_name,country,mall_name,tipo_soporte,tipo_emission,ubicacion,ID_digital,cp
181424828,1,TRACE-181424828, 1080x1920,"(-8.370797,43.290645)",43.290645,-8.370797,"Av. Alvedro, 5",15189,TSO CORUÑA,SPAIN,TSO Coruña,MUPI,DIGITAL,INDOOR,181424828,15189
145442054,1,TRACE-145442054, 1080x1920,"(-3.615327,40.540638)",40.540638,-3.615327,Plaza del Comercio,28703,PLAZA NORTE 2,SPAIN,Plaza Norte 2,MUPI,DIGITAL,INDOOR,145442054,28703
667656687,18,TRACE-667656687, 1080x1920,"(2.134147,41.3894)",41.3894,2.134147,"Avinguda Diagonal, 557",08029,ILLA DIAGONAL ,SPAIN,Illa Diagonal,MUPI,DIGITAL,INDOOR,667656687,08029
316868963,1,TRACE-316868963, 1920x1080,"(2.098242,41.377282)",41.377282,2.098242,"Carrer de Laureà Miró, 20,",08950,LEDS FINESTRELLES,SPAIN,LEDS Finestrelles,MUPI,DIGITAL,INDOOR,316868963,08950
34321744,1,TRACE-34321744, 800x600,"(-3.68879,40.46246)",40.46246,-3.68879,"P.º de la Castellana, 196-204",28046,LEDS CASTELLANA 200,SPAIN,LEDS Castellana 200,MUPI,DIGITAL,INDOOR,34321744,28046
34350066,1,TRACE-34350066, 1600x900,"(-3.68879,40.46246)",40.46246,-3.68879,"P.º de la Castellana, 196-204",28046,LEDS CASTELLANA 200,SPAIN,LEDS Castellana 200,MUPI,DIGITAL,INDOOR,34350066,28046
60849720,2,TRACE-60849720, 1080x1920,"(-3.694407,40.27219)",40.27219,-3.694407,Av. Río Guadalquivir,28906,NASSICA,SPAIN,Nassica,MUPI,DIGITAL,INDOOR,60849720,28906
68498042,14,TRACE-68498042, 1080x1920,"(-0.362302,39.49448)",39.49448,-0.362302,Carrer de Santa Genoveva Torres,46019,ARENA MULTIESPACIO,SPAIN,Arena Multiespacio,MUPI,DIGITAL,INDOOR,68498042,46019
97150575,3,TRACE-97150575, 1920x1080,"(-3.899328,40.490134)",40.490134,-3.899328,Calle de los Químicos,,LEDS GRAN PLAZA 2,SPAIN,LEDS Gran Plaza 2,MUPI,DIGITAL,INDOOR,97150575,
97151917,6,TRACE-97151917, 1080x1920,"(-3.888684,40.517597)",40.517597,-3.888684,Calle de Pablo Neruda,28232,TSO LAS ROZAS,SPAIN,TSO las Rozas,MUPI,DIGITAL,INDOOR,97151917,28232
