,display_unit_id,display_unit_name,screen_count,display_unit_active,container_name,container_active,Screen ID,screen_width,screen_height
201,34230179,LED Gran Formato - Castellana 200 - EXTERIOR 288x416,1,True,LEDS CASTELLANA 200,True,34321744,800,600
202,215576473,SONAE-DIRECTORIO GRAN CASA,9,True,DIRECTORIOS,True,354356911,2160,3840
203,49442081,ELE-BELROS 6.1,1,True,ESPACIO LEON,True,354330086,1080,1920
204,49758270,FSR-5/6-2,2,True,TSO SSRR,True,175791140,1080,1920
205,343461141,SUPERMERCADO - MEGA (TOTTUS),1,True,RED DE SUPERMERCADOS,True,114011271,1920,1080
206,288556831,LORANCA - Corporativa - 3caras,5,True,CORPORATIVAS,True,299358715,1080,1920
207,181154442,COR-UBIC1,2,True,TSO CORUÑA,True,181424828,1080,1920
208,393037563,PROYECTOR PLANTA BAJA,1,True,PROYECTORES-GV2,True,393056038,1920,1200
209,194897920,MEGAPLAZA - IWALL (1080X1920),12,True,MEGAPLAZA,True,196610104,1080,1920
210,213611387,SONAE-DIRECTORIO-MAXCENTER,6,True,DIRECTORIOS,True,218335685,2160,3840
211,49758941,GCA-RIT-15,15,True,GRAN CASA,True,335514280,1080,1920
212,215576473,SONAE-DIRECTORIO GRAN CASA,9,True,DIRECTORIOS,True,224535100,2160,3840
213,213611387,SONAE-DIRECTORIO-MAXCENTER,6,True,DIRECTORIOS,True,218331037,2160,3840
214,49478635,PMY-RIT-6,6,True,PLAZA MAYOR,True,444158993,1080,1920
215,215576431,SONAE-DIRECTORIO-VALLEREAL,4,True,DIRECTORIOS,True,218301834,2160,3840
216,343461011,SUPERMERCADO - MS (TOTTUS),3,True,RED DE SUPERMERCADOS,True,249694121,1080,1920
217,386841562,ASU-MERCADONA-1,1,True,AREA SUR,True,299833719,1080,1920
218,215576473,SONAE-DIRECTORIO GRAN CASA,9,True,DIRECTORIOS,True,224535286,2160,3840
219,184282791,LA RAMBLA - Brena,10,True,LA RAMBLA - Brena,True,183635621,1080,1920
220,343461070,SUPERMERCADO - MOL (PLAZA VEA),3,True,RED DE SUPERMERCADOS,True,357236146,1080,1920
