uuid;name;day;start_hour;end_hour;visits
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-08;12:00:00;13:00:00;1036.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-08;13:00:00;14:00:00;1047.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-08;14:00:00;15:00:00;681.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-08;15:00:00;16:00:00;690.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-08;16:00:00;17:00:00;668.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-08;17:00:00;18:00:00;750.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-08;18:00:00;19:00:00;783.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-08;19:00:00;20:00:00;611.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-08;20:00:00;21:00:00;646.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-08;21:00:00;22:00:00;519.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-09;10:00:00;11:00:00;1028.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-09;11:00:00;12:00:00;1013.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-09;12:00:00;13:00:00;990.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-09;13:00:00;14:00:00;903.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-09;14:00:00;15:00:00;681.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-09;15:00:00;16:00:00;660.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-09;16:00:00;17:00:00;635.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-09;17:00:00;18:00:00;695.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-09;18:00:00;19:00:00;781.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-09;19:00:00;20:00:00;619.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-09;20:00:00;21:00:00;600.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-09;21:00:00;22:00:00;489.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-10;10:00:00;11:00:00;1060.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-10;11:00:00;12:00:00;991.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-10;12:00:00;13:00:00;1050.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-10;13:00:00;14:00:00;1015.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-10;14:00:00;15:00:00;716.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-10;15:00:00;16:00:00;672.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-10;16:00:00;17:00:00;657.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-10;17:00:00;18:00:00;753.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-10;18:00:00;19:00:00;888.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-10;19:00:00;20:00:00;715.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-10;20:00:00;21:00:00;647.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-10;21:00:00;22:00:00;534.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-11;10:00:00;11:00:00;1061.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-11;11:00:00;12:00:00;1025.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-11;12:00:00;13:00:00;1043.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-11;13:00:00;14:00:00;1086.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-11;14:00:00;15:00:00;728.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-11;15:00:00;16:00:00;646.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-11;16:00:00;17:00:00;659.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-11;17:00:00;18:00:00;987.0
