device_id,screen_id,reach_screen_id,player_id,player_version,os_version,screen_resolution,poll_last_utc,player_active,player_name,player_screens,display_unit_id,display_unit_name,display_unit_screen_count,geolocation,longitude,latitude,zipcode,address,display_unit_type_id,display_type_res_width,display_type_res_height,display_type_name,ad_resolution,container_name,site_id,programmatic_name,reach_publisher_id,allowed_ad_types:id,audience_data_sources:id,floor_cpm_eur,min_ad_duration_sec,max_ad_duration_sec,country
IWALLINSHOP:422508648,422508648,broadsign.com:422508648,422508648,15.5.0-1,Windows 10,1080x1920,2023-07-04T14:49:31,True,PER0051 PSM #07 N1 Paez,1,358867595,PLaza San Miguel (PSM),14,"(-77.083652,-12.077457)",-77.083652,-12.077457,15088,"Av. la Marina 2000, San Miguel",39463706,1080,1920,iwall PERU 2013 - 1080x1920 (escritorio de windows rotado),1080x1920,PLaza San Miguel (PSM),522104732,PERU-PLaza San Miguel (PSM)-1 screens,37,"html, video, images",PORTAL-Inspide-telco data-cam data-admobilize,10.0,10.0,30.0,PERU
IWALLINSHOP:842801710,842801710,broadsign.com:842801710,842801710,15.5.2-1,Windows 10,1080x1920,2023-07-04T14:52:03,True,PER0094  UPN BREÑA 1,1,849221600,Red Joven UPN - BREÑA,2,"(-77.058777,-12.058182)",-77.058777,-12.058182,15083,"Av. Tingo María 1122, Lima",39463706,1080,1920,iwall PERU 2013 - 1080x1920 (escritorio de windows rotado),1080x1920,Univ. Privada del Norte (UPN),849220067,PERU-Univ. Privada del Norte (UPN)-1 screens,37,"html, video, images",PORTAL-Inspide-telco data-cam data-admobilize,10.0,10.0,30.0,PERU
IWALLINSHOP:849329265,849329265,broadsign.com:849329265,849329265,15.5.0-1,Windows 10,1080x1920,2023-07-04T14:53:49,True,PER0072 MS RDS - (ESCALERA TOTTUS),1,343461011,SUPERMERCADO - MS (TOTTUS),3,"(-76.97132,-12.055355)",-76.97132,-12.055355,15008," Av. Nicolás Ayllón, Santa Anita ",39463706,1080,1920,iwall PERU 2013 - 1080x1920 (escritorio de windows rotado),1080x1920,SUPERMERCADO-Mall Aventura Santa Anita,849296185,PERU-SUPERMERCADO-Mall Aventura Santa Anita-1 screens,37,"html, video, images",PORTAL-Inspide-telco data-cam data-admobilize,10.0,10.0,30.0,PERU
IWALLINSHOP:806668124,806668124,broadsign.com:806668124,806668124,15.5.2-1,Windows 10,1080x1920,2023-07-04T15:02:02,True,PER0063 PSM #09 XIAOMI N2,1,358867595,PLaza San Miguel (PSM),14,"(-77.083652,-12.077457)",-77.083652,-12.077457,15088,"Av. la Marina 2000, San Miguel",39463706,1080,1920,iwall PERU 2013 - 1080x1920 (escritorio de windows rotado),1080x1920,PLaza San Miguel (PSM),522104732,PERU-PLaza San Miguel (PSM)-1 screens,37,"html, video, images",PORTAL-Inspide-telco data-cam data-admobilize,10.0,10.0,30.0,PERU
IWALLINSHOP:843317768,843317768,broadsign.com:843317768,843317768,15.5.2-1,Windows 10,1080x1920,2023-07-04T14:51:13,True,PER0097 - CERTUS INDEPENDENCIA,1,794079201,Red Joven - Certus - IND,1,"(-77.059999,-11.990426)",-77.059999,-11.990426,15311,"Av Industrial 3733, San Martín de Porres",39463706,1080,1920,iwall PERU 2013 - 1080x1920 (escritorio de windows rotado),1080x1920,Certus,849216118,PERU-Certus-1 screens,37,"html, video, images",PORTAL-Inspide-telco data-cam data-admobilize,10.0,10.0,30.0,PERU
IWALLINSHOP:114011271,114011271,broadsign.com:114011271,114011271,15.5.0-1,Windows 7,1920x1080,2023-07-04T15:24:38,True,PER0013 PSM LED100 LARITZA,1,49519741,Plaza San Miguel (PSM) - LED100 #RES_256X462#,2,"(-77.062988,-11.994601)",-77.062988,-11.994601,,Centro Comercial Megaplaza Lima,319407211,256,512,LED 100 KFC 256X462,256x512,PLaza San Miguel (PSM),522104732,PERU-PLaza San Miguel (PSM)-1 screens,37,"html, video, images",PORTAL-Inspide-telco data-cam data-admobilize,10.0,10.0,30.0,PERU
IWALLINSHOP:679805017,679805017,broadsign.com:679805017,679805017,15.5.0-1,Windows 10,1080x1920,2023-07-04T14:50:44,True,PER0036 - MOL RDCINES Area Administración ,1,666885283,CINES - Molina Plaza (Administracion N1),1,"(-77.005036,-12.089485)",-77.005036,-12.089485,, ,39463706,1080,1920,iwall PERU 2013 - 1080x1920 (escritorio de windows rotado),1080x1920,CINE-Molina PLaza,849295425,PERU-CINE-Molina PLaza-1 screens,37,"html, video, images",PORTAL-Inspide-telco data-cam data-admobilize,10.0,10.0,30.0,PERU
IWALLINSHOP:579148140,579148140,broadsign.com:579148140,579148140,15.5.0-1,Windows 10,1080x1920,2023-07-04T15:26:20,True,PER0091 - RBB N3 (RDC),2,687527856,CINES - La Rambla Breña,2,"(-77.046669,-12.066287)",-77.046669,-12.066287,,"Av. Brazil 702, Breña",39463706,1080,1920,iwall PERU 2013 - 1080x1920 (escritorio de windows rotado),1080x1920,CINE-La Rambla Breña,849295569,PERU-CINE-La Rambla Breña-2 screens,37,"html, video, images",PORTAL-Inspide-telco data-cam data-admobilize,10.0,10.0,30.0,PERU
IWALLINSHOP:192454805,192454805,broadsign.com:192454805,192454805,15.5.0-1,Windows 7,1080x1920,2023-07-04T14:57:13,True,PER0028 - PSM #01 N1 RDC Bembos,2,687515564,CINES - Plaza San Miguel,2,"(0,0)",0,0,,,39463706,1080,1920,iwall PERU 2013 - 1080x1920 (escritorio de windows rotado),1080x1920,CINE-Plaza San Miguel,849295419,PERU-CINE-Plaza San Miguel-2 screens,37,"html, video, images",PORTAL-Inspide-telco data-cam data-admobilize,10.0,10.0,30.0,PERU
IWALLINSHOP:519150850,519150850,broadsign.com:519150850,519150850,15.5.0-1,Windows 10,1080x1920,2023-07-04T14:51:02,True,"PER0056 - PSM #11 N2 RDS WONG
",1,525630967,SUPERMERCADO - PSM (WONG /ROSATEL) UBC#11/5,2,"(-77.083652,-12.077457)",-77.083652,-12.077457,," Av. la Marina 2000, San Miguel",39463706,1080,1920,iwall PERU 2013 - 1080x1920 (escritorio de windows rotado),1080x1920,SUPERMERCADO-Plaza San Miguel,849296136,PERU-SUPERMERCADO-Plaza San Miguel-1 screens,37,"html, video, images",PORTAL-Inspide-telco data-cam data-admobilize,10.0,10.0,30.0,PERU
